SEGMENT_ID,COMPONENT_NAME,SOURCE_LABEL,RAW_COMPONENT,WMIN_NM,WMAX_NM,N_POINTS,DATA_TYPE,INSTRUMENT_OR_MODEL,SCALING_NOTE,PRIORITY,IS_OBSERVED,IS_MODEL,IS_RECONSTRUCTED,IS_BRIDGE,IS_PHOTOSPHERE,IS_HYBRID,COMPONENT_NOTE
1,Chandra/LETG 3T APEC B,Chandra_LETG_3T_APEC_B,Chandra/LETG 3T APEC B,0.5177890087066526,12.397231661418374,5000,model_fit_to_observation,Chandra/LETG + APEC,Unabsorbed 3T APEC surface flux fitted to/extracted from the Chandra/LETG B component workflow.,1,False,True,False,False,False,False,Chandra/APEC B rescaled from R=0.720 to R=0.730 R_sun.
2,Namekata/Sanz B,Namekata_Sanz_B_extended_to_IUE,Namekata/Sanz B,12.4,114.5,3881,semiempirical_reconstruction,Namekata + Sanz-Forcada relation,Namekata spectral shape scaled so L_EUV(12.4-91.2 nm) matches the Sanz-Forcada LEUV anchor.,2,False,True,True,False,False,False,"Namekata/Sanz B, including the raw-Namekata extension to the IUE/SWP start."
3,IUE/SWP B HST-A calibrated,IUE_SWP_B_HST_A_proxy_calibrated,IUE/SWP B HST-A calibrated,115.058025598526,197.78664415478707,329,observed_proxy_calibrated_uv_bridge,IUE/SWP + HST/STIS A proxy calibration,36 Oph B IUE/SWP segment calibrated using HST/STIS A as a proxy template.,3,True,False,False,True,False,True,Strict-B IUE/SWP spectrum corrected with a smooth multiplicative slope using HST/STIS A as a proxy template.
4,IUE/LWR B HST-A calibrated,IUE_LWR_B_HST_A_proxy_calibrated,IUE/LWR B HST-A calibrated,198.21937203407288,332.99848556518555,130,observed_proxy_calibrated_uv_bridge,IUE/LWR + HST/STIS A proxy calibration,36 Oph B IUE/LWR segment calibrated using HST/STIS A as a proxy template; final kink point(s) removed.,4,True,False,False,True,False,True,Strict-B IUE/LWR spectrum corrected with HST/STIS A as a proxy template; final kink point removed before Gaia.
5,Gaia DR3 XP B,Gaia_DR3_XP_B,Gaia DR3 XP B,336.0,1020.0,343,direct_observation_lowres_spectrophotometry,Gaia DR3 XP,Gaia DR3 XP B spectrophotometric segment in stellar surface-flux units.,5,True,False,False,False,False,False,Local Gaia DR3 XP sampled spectrum supplied for 36 Oph B.
6,PHOENIX red extension,PHOENIX_red_extension_scaled_to_Gaia,PHOENIX red extension,1020.0210001750014,5000.0,100547,direct_observation_lowres_spectrophotometry,Gaia DR3 XP,Gaia DR3 XP B spectrophotometric segment in stellar surface-flux units.,5,True,False,False,False,False,False,PHOENIX model extension after Gaia red end only.
