SEGMENT_ID,COMPONENT_NAME,SOURCE_LABEL,WMIN_NM,WMAX_NM,N_POINTS,DATA_TYPE,INSTRUMENT_OR_MODEL,SCALING_NOTE,PRIORITY,IS_OBSERVED,IS_MODEL,IS_RECONSTRUCTED,IS_BRIDGE,IS_PHOTOSPHERE,IS_HYBRID,COMPONENT_NOTE
1,XMM/MOS1 2T APEC,XMM_MOS1_2T_APEC,0.5201522480616447,12.399604672199048,10501,model_fit_to_observation,XMM/EPIC-MOS1 + APEC,Unabsorbed 2T APEC surface flux fitted to XMM/EPIC-MOS1 spectrum.,1,False,True,False,False,False,False,XMM/EPIC-MOS1 2T APEC unabsorbed surface flux; fitted with PyXspec
2,Namekata/Sanz,Namekata_Sanz_scaled,12.4,114.5,3881,semiempirical_reconstruction,Namekata 2023 + Sanz-Forcada relation,Namekata spectral shape scaled so L_EUV(12.4-91.2 nm) matches Sanz-Forcada LEUV from XMM Lx.,2,False,True,True,False,False,False,Namekata semiempirical XUV/EUV segment scaled to Sanz-Forcada; final Namekata/Sanz ratio should be 1
3,IUE/SWP low-disp,IUE_SWP_lowdisp_scaled_to_NGSL,115.05832028388976,167.5292244315147,263,observed_gapfill_bridge,IUE/SWP low-dispersion,IUE/SWP low-dispersion UV bridge scaled/validated to the STIS/NGSL overlap.,3,True,False,False,True,False,False,IUE/SWP low-disp median spectrum scaled to STIS/NGSL overlap; used only between 115 nm and the NGSL start
4,HST/STIS NGSL,STIS_NGSL_observed,167.62156405252125,1019.6511518593308,2875,direct_observation,HST/STIS NGSL,Observed STIS/NGSL surface-flux block.,4,True,False,False,False,False,False,Observed HST/STIS NGSL surface flux block
5,PHOENIX scaled,PHOENIX_scaled_to_NGSL,1019.6852460655758,5000.0,76729,direct_observation,HST/STIS NGSL,Observed STIS/NGSL surface-flux block.,4,True,False,False,False,False,False,"PHOENIX photospheric extension, T=5200 K, scaled to the red end of STIS/NGSL"
