SEGMENT_ID,COMPONENT_NAME,COMPONENT_BASE,SOURCE_LABEL,SOURCE_ORIGINAL,WMIN_NM,WMAX_NM,N_POINTS,DATA_TYPE,INSTRUMENT_OR_MODEL,SCALING_NOTE,PRIORITY,IS_OBSERVED,IS_MODEL,IS_RECONSTRUCTED,IS_BRIDGE,IS_PHOTOSPHERE,IS_HYBRID,NOTE
1,XMM/EPIC-pn 2T APEC,XMM/EPIC-pn 2T APEC,XMM/APEC,XMM 2T APEC,0.5269645703302905,115.04,3962,model_fit_to_observation,XMM-Newton EPIC-pn / APEC,Unabsorbed surface flux from 2T APEC fit to XMM spectrum.,1,False,True,False,False,False,False,X-ray anchor from XMM/EPIC-pn APEC model.
2,HST/STIS E140M,HST/STIS E140M,HST/STIS E140M,Observed/Gaia/PHOENIX hybrid,115.058026,173.394574,349,direct_observation,HST/STIS E140M,FUV anchor from the beta Com low-energy workflow; HST has priority over IUE.,4,True,False,False,False,False,False,HST/STIS E140M FUV anchor selected with priority over IUE.
3,IUE/SWP bridge,IUE/SWP bridge,IUE/SWP bridge,Observed/Gaia/PHOENIX hybrid,173.562208,197.999462,168,observed_gapfill_bridge,IUE/SWP,IUE/SWP used only as uncovered gap-fill after HST/STIS E140M priority selection.,5,True,False,False,True,False,False,IUE/SWP used only as empirical gap-fill after the HST FUV anchor.
4,IUE/LWP+LWR bridge,IUE/LWP+LWR bridge,IUE/LWP+LWR bridge,Observed/Gaia/PHOENIX hybrid,198.00553,219.994186,3625,observed_gapfill_bridge,IUE/LWP+LWR,IUE long-camera spectra used only as uncovered NUV gap-fill around the HST/Gaia anchors.,7,True,False,False,True,False,False,IUE/LWP+LWR used only as NUV gap-fill between higher-priority anchors.
5,HST/STIS E230,HST/STIS E230,HST/STIS E230,Observed/Gaia/PHOENIX hybrid,220.000254,319.998888,34577,direct_observation,HST/STIS E230H/E230M,NUV anchor from the beta Com low-energy workflow; HST has priority over IUE.,6,True,False,False,False,False,False,HST/STIS E230 NUV anchor selected with priority over IUE.
6,IUE/LWP+LWR bridge #2,IUE/LWP+LWR bridge,IUE/LWP+LWR bridge,Observed/Gaia/PHOENIX hybrid,320.004955,329.998144,1648,observed_gapfill_bridge,IUE/LWP+LWR,IUE long-camera spectra used only as uncovered NUV gap-fill around the HST/Gaia anchors.,7,True,False,False,True,False,False,IUE/LWP+LWR used only as NUV gap-fill between higher-priority anchors.
7,Gaia DR3 XP sampled,Gaia DR3 XP sampled,Gaia DR3 XP sampled,Observed/Gaia/PHOENIX hybrid,330.004212,1049.923499,1503,direct_observation,Gaia DR3 XP sampled,Gaia XP optical spectrophotometry kept in its absolute observed-flux scale and converted to surface flux.,8,True,False,False,False,False,False,Gaia DR3 XP sampled optical spectrophotometry.
8,PHOENIX,PHOENIX,PHOENIX,Observed/Gaia/PHOENIX hybrid,1050.002167,5000.0,50212,photosphere_model_scaled,PHOENIX,PHOENIX photospheric model scaled to the empirical optical anchor and used as red extension.,9,False,True,False,False,True,False,PHOENIX photospheric red extension scaled to the empirical optical anchor.
